Gene ID,Product Description,Gene Type
AARA000164,Ribonuclease H2 subunit C [Source:Projected from Anopheles gambiae (AGAP011243) UniProtKB/TrEMBL;Acc:A0A1S4H636],protein coding gene
AARA000165,rRNA 2'-O-methyltransferase fibrillarin [Source:Projected from Anopheles gambiae (AGAP011244) VB Community Annotation],protein coding gene
AARA000166,chloride channel [Source:Projected from Anopheles gambiae (AGAP011245) VB Community Annotation],protein coding gene
AARA000167,origin recognition complex subunit [Source:Projected from Anopheles gambiae (AGAP011246) VB Community Annotation],protein coding gene
AARA000168,Longitudinals lacking protein-like [Source:Projected from Anopheles gambiae (AGAP011247) VB Community Annotation],protein coding gene
AARA000169,unspecified product,protein coding gene
AARA000171,unspecified product,protein coding gene
AARA000172,ubiquitin-like protein [Source:Projected from Anopheles gambiae (AGAP011251) VB Community Annotation],protein coding gene
AARA000175,unspecified product,protein coding gene
AARA000176,ADP-ribosylation factor-like protein [Source:Projected from Anopheles gambiae (AGAP011254) VB Community Annotation],protein coding gene
AARA000177,unspecified product,protein coding gene
AARA000179,Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A182HG32],protein coding gene
AARA000180,cyclin-dependent kinase [Source:Projected from Anopheles gambiae (AGAP009459) VB Community Annotation],protein coding gene
AARA000181,unspecified product,protein coding gene
AARA000187,Rhomboid domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HG40],protein coding gene
AARA000188,unspecified product,protein coding gene
AARA000190,S-adenosylmethionine synthase [Source:UniProtKB/TrEMBL;Acc:A0A182HG43],protein coding gene
AARA000191,Sodium/hydrogen exchanger [Source:UniProtKB/TrEMBL;Acc:A0A182HG44],protein coding gene
AARA000192,unspecified product,protein coding gene
AARA000193,chromobox protein [Source:Projected from Anopheles gambiae (AGAP009444) VB Community Annotation],protein coding gene
AARA000194,Amino acid transporter [Source:UniProtKB/TrEMBL;Acc:A0A182HG47],protein coding gene
AARA000195,Cyclin-dependent kinases regulatory subunit [Source:UniProtKB/TrEMBL;Acc:A0A182HG48],protein coding gene
AARA000196,elongation factor [Source:Projected from Anopheles gambiae (AGAP009441) VB Community Annotation],protein coding gene
AARA000197,unspecified product,protein coding gene
AARA000198,membrane protein GNA1220 [Source:Projected from Anopheles gambiae (AGAP009439) VB Community Annotation],protein coding gene
AARA000199,pre-rRNA-processing protein TSR1 [Source:Projected from Anopheles gambiae (AGAP009438) VB Community Annotation],protein coding gene
AARA000201,Kynurenine formamidase [Source:UniProtKB/TrEMBL;Acc:A0A182HG53],protein coding gene
AARA000204,unspecified product,protein coding gene
AARA000211,unspecified product,protein coding gene
AARA000212,unspecified product,protein coding gene
AARA000213,lysophosphatidate acyltransferase [Source:Projected from Anopheles gambiae (AGAP009415) VB Community Annotation],protein coding gene
AARA000214,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha [Source:Projected from Anopheles gambiae (AGAP009414) VB Community Annotation],protein coding gene
AARA000216,odorant receptor,protein coding gene
AARA000217,odorant receptor,protein coding gene
AARA000218,odorant receptor,protein coding gene
AARA000220,cuticular protein [Source:Projected from Anopheles gambiae (AGAP009405) VB Community Annotation],protein coding gene
AARA000222,odorant binding protein 43,protein coding gene
AARA000223,unspecified product,protein coding gene
AARA000225,unspecified product,protein coding gene
AARA000227,odorant receptor,protein coding gene
AARA000229,unspecified product,protein coding gene
AARA000231,unspecified product,protein coding gene
AARA000232,unspecified product,protein coding gene
AARA000234,cellular retinaldehyde-binding protein [Source:Projected from Anopheles gambiae (AGAP009379) VB Community Annotation],protein coding gene
AARA000235,unspecified product,protein coding gene
AARA000236,cellular retinaldehyde binding protein [Source:Projected from Anopheles gambiae (AGAP009365) VB Community Annotation],protein coding gene
AARA000237,cytochrome P450,protein coding gene
AARA000238,unspecified product,protein coding gene
AARA000239,unspecified product,protein coding gene
AARA000240,unspecified product,protein coding gene
AARA000241,AgAcp34A-1 [Source:UniProtKB/TrEMBL;Acc:G8I2E1],protein coding gene
AARA000242,unspecified product,protein coding gene
AARA000243,unspecified product,protein coding gene
AARA000245,unspecified product,protein coding gene
AARA000248,unspecified product,protein coding gene
AARA000253,unspecified product,protein coding gene
AARA000254,unspecified product,protein coding gene
AARA000255,unspecified product,protein coding gene
AARA000258,Peptidylprolyl isomerase [Source:UniProtKB/TrEMBL;Acc:A0A499FPH5],protein coding gene
AARA000259,unspecified product,protein coding gene
AARA000260,glutathione S-transferase,protein coding gene
AARA000262,"Cell division cycle 20, cofactor of APC complex [Source:Projected from Anopheles gambiae (AGAP009338) UniProtKB/TrEMBL;Acc:A0A1S4H1K1]",protein coding gene
AARA000263,unspecified product,protein coding gene
AARA000264,unspecified product,protein coding gene
AARA000265,F-box and leucine-rich repeat protein [Source:Projected from Anopheles gambiae (AGAP009335) VB Community Annotation],protein coding gene
AARA000266,V-type H+-transporting ATPase 21kDa proteolipid subunit [Source:Projected from Anopheles gambiae (AGAP009334) VB Community Annotation],protein coding gene
AARA000267,mitochondrial carrier protein (Rim2) [Source:Projected from Anopheles gambiae (AGAP009333) VB Community Annotation],protein coding gene
AARA000271,Troponin C isoform 4'' [Source:Projected from Anopheles gambiae (AGAP009330) VB Community Annotation],protein coding gene
AARA000272,Receptor protein serine/threonine kinase [Source:UniProtKB/TrEMBL;Acc:A0A182HGB9],protein coding gene
AARA000273,unspecified product,protein coding gene
AARA000274,unspecified product,protein coding gene
AARA000275,unspecified product,protein coding gene
AARA000276,60S ribosomal protein L34 [Source:Projected from Anopheles gambiae (AGAP009324) VB Community Annotation],protein coding gene
AARA000278,General transcription factor 3C polypeptide 5 (transcription factor C subunit [Source:Projected from Anopheles gambiae (AGAP009321) UniProtKB/TrEMBL;Acc:A0A1S4H0Q3],protein coding gene
AARA000279,unspecified product,protein coding gene
AARA000281,unspecified product,protein coding gene
AARA000286,peptide chain release factor subunit [Source:Projected from Anopheles gambiae (AGAP009310) VB Community Annotation],protein coding gene
AARA000289,bromodomain-containing protein 7/9 [Source:Projected from Anopheles gambiae (AGAP009307) VB Community Annotation],protein coding gene
AARA000293,unspecified product,protein coding gene
AARA000294,unspecified product,protein coding gene
AARA000295,unspecified product,protein coding gene
AARA000296,splicing factor [Source:Projected from Anopheles gambiae (AGAP009296) VB Community Annotation],protein coding gene
AARA000297,Kip1 ubiquitination-promoting complex protein [Source:Projected from Anopheles gambiae (AGAP009295) UniProtKB/TrEMBL;Acc:A0A1S4H0N0],protein coding gene
AARA000298,unspecified product,protein coding gene
AARA000299,unspecified product,protein coding gene
AARA000300,unspecified product,protein coding gene
AARA000301,Coatomer subunit gamma [Source:Projected from Anopheles gambiae (AGAP009291) VB Community Annotation],protein coding gene
AARA000302,cohesin loading factor subunit SCC2 [Source:Projected from Anopheles gambiae (AGAP009290) VB Community Annotation],protein coding gene
AARA000304,unspecified product,protein coding gene
AARA000305,unspecified product,protein coding gene
AARA000306,unspecified product,protein coding gene
AARA000307,unspecified product,protein coding gene
AARA000308,unspecified product,protein coding gene
AARA000309,Hyphantrin [Source:Projected from Anopheles gambiae (AGAP009282) VB Community Annotation],protein coding gene
AARA000310,Apolipoprotein D precursor [Source:Projected from Anopheles gambiae (AGAP009281) UniProtKB/TrEMBL;Acc:A0A1S4H0P2],protein coding gene
AARA000311,Phosphatidylinositol-glycan biosynthesis class W protein [Source:UniProtKB/TrEMBL;Acc:A0A182HGF8],protein coding gene
AARA000312,unspecified product,protein coding gene
AARA000313,phosphorylase kinase alpha/beta subunit [Source:Projected from Anopheles gambiae (AGAP009278) VB Community Annotation],protein coding gene
AARA000314,unspecified product,protein coding gene
AARA000315,Piezo-type mechanosensitive ion channel component [Source:UniProtKB/TrEMBL;Acc:A0A182HGG2],protein coding gene
AARA000316,sulfakinin neuropeptide [Source:Projected from Anopheles gambiae (AGAP009275) VB Community Annotation],protein coding gene
AARA000317,unspecified product,protein coding gene
AARA000318,Facilitated trehalose transporter Tret1-2 homolog [Source:Projected from Anopheles gambiae (AGAP009274) UniProtKB/TrEMBL;Acc:A0A1S4H1F3],protein coding gene
AARA000319,unspecified product,protein coding gene
AARA000320,26S proteasome beta 1 subunit,protein coding gene
AARA000321,unspecified product,protein coding gene
AARA000322,unspecified product,protein coding gene
AARA000323,SAM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HGH0],protein coding gene
AARA000326,low molecular weight phosphotyrosine protein phosphatase [Source:Projected from Anopheles gambiae (AGAP009266) VB Community Annotation],protein coding gene
AARA000327,Ectonucleoside triphosphate diphosphohydrolase 5/6 [Source:Projected from Anopheles gambiae (AGAP009265) UniProtKB/TrEMBL;Acc:A0A1S4H0M9],protein coding gene
AARA000329,unspecified product,protein coding gene
AARA000330,Rap guanine nucleotide exchange factor (GEF) [Source:Projected from Anopheles gambiae (AGAP009261) VB Community Annotation],protein coding gene
AARA000331,centrin-1 [Source:Projected from Anopheles gambiae (AGAP009260) VB Community Annotation],protein coding gene
AARA000332,Lysophospholipid acyltransferase [Source:Projected from Anopheles gambiae (AGAP009259) UniProtKB/TrEMBL;Acc:A0A1S4H1D7],protein coding gene
AARA000333,unspecified product,protein coding gene
AARA000334,unspecified product,protein coding gene
AARA000335,unspecified product,protein coding gene
AARA000336,unspecified product,protein coding gene
AARA000337,unspecified product,protein coding gene
AARA000338,unspecified product,protein coding gene
AARA000339,unspecified product,protein coding gene
AARA000340,unspecified product,protein coding gene
AARA000341,unspecified product,protein coding gene
AARA000342,unspecified product,protein coding gene
AARA000343,unspecified product,protein coding gene
AARA000344,unspecified product,protein coding gene
AARA000345,unspecified product,protein coding gene
AARA000346,unspecified product,protein coding gene
AARA000347,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial [Source:Projected from Anopheles gambiae (AGAP004715) VB Community Annotation]",protein coding gene
AARA000348,Gustatory receptor [Source:UniProtKB/TrEMBL;Acc:A0A182HGJ5],protein coding gene
AARA000349,unspecified product,protein coding gene
AARA000350,unspecified product,protein coding gene
AARA000351,CLIP-domain serine protease [Source:Projected from Anopheles gambiae (AGAP004719) VB Community Annotation],protein coding gene
AARA000352,Profilin [Source:UniProtKB/TrEMBL;Acc:A0A182HGJ9],protein coding gene
AARA000353,unspecified product,protein coding gene
AARA000354,unspecified product,protein coding gene
AARA000355,unspecified product,protein coding gene
AARA000356,unspecified product,protein coding gene
AARA000357,unspecified product,protein coding gene
AARA000358,COMPASS component SPP1 [Source:Projected from Anopheles gambiae (AGAP004704) VB Community Annotation],protein coding gene
AARA000359,DNA-directed RNA polymerase subunit [Source:UniProtKB/TrEMBL;Acc:A0A182HGK6],protein coding gene
AARA000365,Protein MAK16 homolog [Source:UniProtKB/TrEMBL;Acc:A0A182HGL2],protein coding gene
AARA000366,dipeptidase E [Source:Projected from Anopheles gambiae (AGAP000513) VB Community Annotation],protein coding gene
AARA000367,Transcriptional enhancer factor [Source:Projected from Anopheles gambiae (AGAP000512) UniProtKB/TrEMBL;Acc:A0A1S4G9T4],protein coding gene
AARA000368,unspecified product,protein coding gene
AARA000369,unspecified product,protein coding gene
AARA000370,unspecified product,protein coding gene
AARA000371,ABC transporter domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HGL8],protein coding gene
AARA000377,C-type lectin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HGM4],protein coding gene
AARA000379,NADPH--cytochrome P450 reductase [Source:UniProtKB/TrEMBL;Acc:A0A182HGM6],protein coding gene
AARA000380,unspecified product,protein coding gene
AARA000381,NTF2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HGM8],protein coding gene
AARA000382,unspecified product,protein coding gene
AARA000383,unspecified product,protein coding gene
AARA000384,UBIQUITIN_CONJUGAT_2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HGN1],protein coding gene
AARA000385,unspecified product,protein coding gene
AARA000386,unspecified product,protein coding gene
AARA000387,unspecified product,protein coding gene
AARA000389,HIG1 domain family member 2A [Source:Projected from Anopheles gambiae (AGAP000491) VB Community Annotation],protein coding gene
AARA000390,unspecified product,protein coding gene
AARA000394,SCP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HGP1],protein coding gene
AARA000397,unspecified product,protein coding gene
AARA000398,BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HGP5],protein coding gene
AARA000401,Xaa-Pro aminopeptidase [Source:Projected from Anopheles gambiae (AGAP000476) VB Community Annotation],protein coding gene
AARA000402,unspecified product,protein coding gene
AARA000403,unspecified product,protein coding gene
AARA000404,origin recognition complex subunit [Source:Projected from Anopheles gambiae (AGAP000474) VB Community Annotation],protein coding gene
AARA000405,Aa_trans domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A182HGQ2],protein coding gene
AARA000408,unspecified product,protein coding gene
AARA000413,unspecified product,protein coding gene
AARA000414,unspecified product,protein coding gene
AARA000415,unspecified product,protein coding gene
AARA000416,vesicle-fusing ATPase [Source:Projected from Anopheles gambiae (AGAP012684) VB Community Annotation],protein coding gene
AARA000417,unspecified product,protein coding gene
AARA000418,TATA-binding protein-associated factor [Source:Projected from Anopheles gambiae (AGAP001820) VB Community Annotation],protein coding gene
AARA000419,unspecified product,protein coding gene
AARA000421,cytosolic carboxypeptidase [Source:Projected from Anopheles gambiae (AGAP001814) VB Community Annotation],protein coding gene
AARA000422,Histone H3 [Source:UniProtKB/TrEMBL;Acc:A0A182HGR9],protein coding gene
AARA000423,unspecified product,protein coding gene
AARA000424,unspecified product,protein coding gene
AARA000425,DnaJ homolog subfamily B [Source:Projected from Anopheles gambiae (AGAP001810) VB Community Annotation],protein coding gene
AARA000426,tetratricopeptide repeat domain [Source:Projected from Anopheles gambiae (AGAP001809) VB Community Annotation],protein coding gene
AARA000427,unspecified product,protein coding gene
AARA000430,60S ribosomal protein L13 [Source:UniProtKB/TrEMBL;Acc:A0A182HGS7],protein coding gene
AARA000431,N-myristoyl transferase,protein coding gene
AARA000432,unspecified product,protein coding gene
AARA000433,mitofusin [Source:Projected from Anopheles gambiae (AGAP001802) VB Community Annotation],protein coding gene
AARA000434,DTW domain-containing protein [Source:Projected from Anopheles gambiae (AGAP001801) VB Community Annotation],protein coding gene
AARA000435,Synaptotagmin [Source:Projected from Anopheles gambiae (AGAP001800) VB Community Annotation],protein coding gene
AARA000436,tropomyosin [Source:Projected from Anopheles gambiae (AGAP001799) VB Community Annotation],protein coding gene
AARA000437,unspecified product,protein coding gene
AARA000438,unspecified product,protein coding gene
AARA000439,unspecified product,protein coding gene
AARA000440,unspecified product,protein coding gene
AARA000441,unspecified product,protein coding gene
AARA000442,mortality factor 4-like protein [Source:Projected from Anopheles gambiae (AGAP001795) VB Community Annotation],protein coding gene
AARA000443,unspecified product,protein coding gene
AARA000444,aurora kinase A [Source:Projected from Anopheles gambiae (AGAP001793) VB Community Annotation],protein coding gene
AARA000445,unspecified product,protein coding gene
AARA000446,unspecified product,protein coding gene
AARA000447,"neprilysin, neutral endopeptidase 2",protein coding gene
AARA000448,p21-activated kinase [Source:Projected from Anopheles gambiae (AGAP001790) VB Community Annotation],protein coding gene
AARA000450,M-type 9 protein [Source:Projected from Anopheles gambiae (AGAP001788) VB Community Annotation],protein coding gene
AARA000451,unspecified product,protein coding gene
AARA000452,AT-rich interactive domain-containing protein [Source:Projected from Anopheles gambiae (AGAP001786) VB Community Annotation],protein coding gene
AARA000454,unspecified product,protein coding gene
AARA000455,unspecified product,protein coding gene
AARA000456,unspecified product,protein coding gene
AARA000458,unspecified product,protein coding gene
AARA000459,E3 ubiquitin-protein ligase EDD1 [Source:Projected from Anopheles gambiae (AGAP001780) VB Community Annotation],protein coding gene
AARA000460,unspecified product,protein coding gene
AARA000461,unspecified product,protein coding gene
AARA000462,ATP-binding cassette transporter (ABC transporter) family C member [Source:Projected from Anopheles gambiae (AGAP001777) VB Community Annotation],protein coding gene
AARA000464,unspecified product,protein coding gene
AARA000466,unspecified product,protein coding gene
AARA000467,unspecified product,protein coding gene
AARA000468,unspecified product,protein coding gene
AARA000469,unspecified product,protein coding gene
AARA000470,unspecified product,protein coding gene
AARA000471,unspecified product,protein coding gene
AARA000472,unspecified product,protein coding gene
AARA000473,transcription initiation protein SPT3 [Source:Projected from Anopheles gambiae (AGAP011670) VB Community Annotation],protein coding gene
AARA000474,ATP-dependent DNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A182HGX1],protein coding gene
AARA000475,unspecified product,protein coding gene
AARA000476,unspecified product,protein coding gene
AARA000477,unspecified product,protein coding gene
AARA000478,unspecified product,protein coding gene
AARA000479,"uncoupling protein 2, mitochondrial [Source:Projected from Anopheles gambiae (AGAP011676) VB Community Annotation]",protein coding gene
AARA000480,unspecified product,protein coding gene
AARA000481,transcription initiation factor TFIID subunit [Source:Projected from Anopheles gambiae (AGAP011678) VB Community Annotation],protein coding gene
AARA000482,unspecified product,protein coding gene
AARA000483,facilitated glucose transporter (solute carrier family 2) [Source:Projected from Anopheles gambiae (AGAP011680) VB Community Annotation],protein coding gene
AARA000485,unspecified product,protein coding gene
AARA000489,aryl hydrocarbon receptor interacting protein [Source:Projected from Anopheles gambiae (AGAP011684) VB Community Annotation],protein coding gene
AARA000490,unspecified product,protein coding gene
AARA000492,BTB/POZ domain-containing protein 13 (germ cell-less protein-like 1) [Source:Projected from Anopheles gambiae (AGAP011686) VB Community Annotation],protein coding gene
AARA000493,60S ribosomal protein L27 [Source:UniProtKB/TrEMBL;Acc:A0A182HGZ0],protein coding gene
AARA000494,histone-lysine N-methyltransferase SETD2 [Source:Projected from Anopheles gambiae (AGAP011688) VB Community Annotation],protein coding gene
AARA000495,unspecified product,protein coding gene
AARA000496,Dynactin subunit [Source:Projected from Anopheles gambiae (AGAP011690) UniProtKB/Swiss-Prot;Acc:Q7PZ25],protein coding gene
AARA000499,long caspase [Source:Projected from Anopheles gambiae (AGAP011693) VB Community Annotation],protein coding gene
AARA000500,unspecified product,protein coding gene
AARA000503,duplex-specific nuclease [Source:Projected from Anopheles gambiae (AGAP011696) VB Community Annotation],protein coding gene
AARA000504,unspecified product,protein coding gene
AARA000505,deoxyribonuclease I [Source:Projected from Anopheles gambiae (AGAP011698) VB Community Annotation],protein coding gene
AARA000506,unspecified product,protein coding gene
AARA000507,predicted G-protein coupled receptor GPCR [Source:Projected from Anopheles gambiae (AGAP011701) VB Community Annotation],protein coding gene
AARA000508,unspecified product,protein coding gene
AARA000509,unspecified product,protein coding gene
AARA000510,unspecified product,protein coding gene
AARA000511,unspecified product,protein coding gene
AARA000512,unspecified product,protein coding gene
