Geneid,Gene Type,Product Description
AGAP000047,protein coding gene,cuticular protein RR-2 family 130
AGAP000048,protein coding gene,unspecified product
AGAP000049,protein coding gene,CCHC-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G8G9]
AGAP000051,protein coding gene,Heme peroxidase 5 [Source:UniProtKB/TrEMBL;Acc:A0A1S4G8F3]
AGAP000053,protein coding gene,Mannose-6-phosphate isomerase [Source:UniProtKB/TrEMBL;Acc:Q7QEL8]
AGAP000056,protein coding gene,neuronal PAS domain-containing protein
AGAP000057,protein coding gene,paired box protein
AGAP000058,protein coding gene,unspecified product
AGAP000061,protein coding gene,One cut domain family member [Source:UniProtKB/TrEMBL;Acc:A0NCM1]
AGAP000062,protein coding gene,unspecified product
AGAP000063,protein coding gene,paired box protein
AGAP000064,protein coding gene,plexin A
AGAP000066,protein coding gene,unspecified product
AGAP000067,protein coding gene,unspecified product
AGAP000068,protein coding gene,nuclear factor I
AGAP000069,protein coding gene,unspecified product
AGAP000070,protein coding gene,protein kinase
AGAP000071,protein coding gene,unspecified product
AGAP000072,protein coding gene,unspecified product
AGAP000073,protein coding gene,gamma-sarcoglycan
AGAP000074,protein coding gene,unspecified product
AGAP000075,protein coding gene,otopetrin
AGAP000076,protein coding gene,sterol regulatory element-binding transcription factor 1
AGAP000078,protein coding gene,unspecified product
AGAP000079,protein coding gene,unspecified product
AGAP000080,protein coding gene,unspecified product
AGAP000081,protein coding gene,glucuronyl/N-acetylglucosaminyl transferase
AGAP000082,protein coding gene,translation initiation factor eIF-2B subunit epsilon
AGAP000085,protein coding gene,cuticular protein RR-2 family 129
AGAP000088,protein coding gene,cytochrome P450
AGAP000090,protein coding gene,adenylate cyclase
AGAP000091,protein coding gene,methylsterol monooxygenase
AGAP000092,protein coding gene,methylsterol monooxygenase
AGAP000093,protein coding gene,unspecified product
AGAP000094,protein coding gene,4-nitrophenylphosphatase
AGAP000095,protein coding gene,anoctamin 5
AGAP000096,protein coding gene,unspecified product
AGAP000097,protein coding gene,solute carrier family 25
AGAP000098,protein coding gene,autophagy related gene
AGAP000099,protein coding gene,JAKSTAT pathway signalling transcription factor
AGAP000100,protein coding gene,unspecified product
AGAP000102,protein coding gene,"alpha-1,6-mannosyltransferase"
AGAP000104,protein coding gene,unspecified product
AGAP000105,protein coding gene,unspecified product
AGAP000106,protein coding gene,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial [Source:UniProtKB/TrEMBL;Acc:Q7QER0]"
AGAP000107,protein coding gene,unspecified product
AGAP000108,protein coding gene,ovary ecdysteroidogenic hormone
AGAP000109,protein coding gene,cytochrome c oxidase subunit VIIa
AGAP000110,protein coding gene,"39S ribosomal protein L40, mitochondrial [Source:UniProtKB/TrEMBL;Acc:Q7QER3]"
AGAP000111,protein coding gene,unspecified product
AGAP000112,protein coding gene,NAD+ synthase (glutamine-hydrolysing)
AGAP000113,protein coding gene,unspecified product
AGAP000114,protein coding gene,unspecified product
AGAP000115,protein coding gene,neuropeptide Y receptor 4
AGAP000116,protein coding gene,Rab11 family-interacting protein 1/2/5
AGAP000117,protein coding gene,Wnt inhibitory factor 1000117]
AGAP000118,protein coding gene,ubiquinone biosynthesis monooxygenase Coq7
AGAP000119,protein coding gene,golgi to ER traffic protein 4 homolog
AGAP000120,protein coding gene,tubulin folding cofactor B
AGAP000121,protein coding gene,unspecified product
AGAP000123,protein coding gene,C-type lectin (CTL)
AGAP000124,protein coding gene,inositol polyphosphate-4-phosphatase
AGAP000126,protein coding gene,unspecified product
AGAP000127,protein coding gene,zinc finger protein-like 1 homolog
AGAP000128,protein coding gene,"MFS transporter, VNT family, synaptic vesicle glycoprotein 2"
AGAP000129,protein coding gene,Aminopeptidase [Source:UniProtKB/TrEMBL;Acc:Q7PRZ0]
AGAP000131,protein coding gene,unspecified product
AGAP000132,protein coding gene,unspecified product
AGAP000133,protein coding gene,unspecified product
AGAP000136,protein coding gene,tetratricopeptide repeat domain 21B
AGAP000137,protein coding gene,"solute carrier family 45, member 1/2/4"
AGAP000138,protein coding gene,nicotinic acetylcholine receptor subunit alpha 4
AGAP000139,protein coding gene,DNA polymerase gamma
AGAP000140,protein coding gene,ionotropic receptor IR100a
AGAP000141,protein coding gene,unspecified product
AGAP000142,protein coding gene,unspecified product
AGAP000143,protein coding gene,beta-mannosidase
AGAP000144,protein coding gene,progestin and adipoQ receptor family member 3
AGAP000145,protein coding gene,"E2 ubiquitin-conjugating enzyme E2D, effete"
AGAP000146,protein coding gene,unspecified product
AGAP000147,protein coding gene,PDZ-binding kinase
AGAP000149,protein coding gene,Ras association domain-containing protein 2/4
AGAP000150,protein coding gene,salivary gland protein 6
AGAP000151,protein coding gene,unspecified product
AGAP000152,protein coding gene,unspecified product
AGAP000153,protein coding gene,unspecified product
AGAP000154,protein coding gene,AMP dependent ligase
AGAP000155,protein coding gene,alkylated DNA repair protein alkB homolog
AGAP000156,protein coding gene,unspecified product
AGAP000158,protein coding gene,histone arginine demethylase
AGAP000159,protein coding gene,Kinesin-like protein [Source:UniProtKB/TrEMBL;Acc:Q7PRX2]
AGAP000160,protein coding gene,unspecified product
AGAP000161,protein coding gene,"Adaptor-related protein complex 3, delta 1 subunit"
AGAP000162,protein coding gene,Cystathionine beta-synthase [Source:UniProtKB/TrEMBL;Acc:Q7QEV0]
AGAP000163,protein coding gene,glutathione transferase microsomal 2
AGAP000164,protein coding gene,unspecified product
AGAP000165,protein coding gene,glutathione transferase microsomal 1
AGAP000166,protein coding gene,PA2c domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G897]
AGAP000167,protein coding gene,Lipid storage droplets surface-binding protein 2
AGAP000168,protein coding gene,Putative frizzled receptor 3 [Source:UniProtKB/TrEMBL;Acc:A0A1S4G8S5]
AGAP000169,protein coding gene,fanconi anemia group M protein
AGAP000170,protein coding gene,NADH dehydrogenase (ubiquinone) Fe-S protein 7
AGAP000171,protein coding gene,E3 ubiquitin-protein ligase
AGAP000173,protein coding gene,unspecified product
AGAP000177,protein coding gene,cuticular protein RR-2 family 128
AGAP000178,protein coding gene,splicing factor 3B subunit 1
AGAP000179,protein coding gene,Amidophosphoribosyltransferase [Source:UniProtKB/TrEMBL;Acc:Q7QEW3]
AGAP000180,protein coding gene,phosphoribosylaminoimidazole carboxylase
AGAP000181,protein coding gene,riboflavin transporter 2
AGAP000182,protein coding gene,unspecified product
AGAP000183,protein coding gene,unspecified product
AGAP000184,protein coding gene,malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)
AGAP000185,protein coding gene,double stranded RNA-specific editase
AGAP000186,protein coding gene,unspecified product
AGAP000187,protein coding gene,unspecified product
AGAP000188,protein coding gene,Uridine phosphorylase [Source:UniProtKB/TrEMBL;Acc:Q7PFX7]
AGAP000189,protein coding gene,transcription initiation factor TFIID subunit 3
AGAP000190,protein coding gene,unspecified product
AGAP000191,protein coding gene,unspecified product
AGAP000192,protein coding gene,cytochrome P450
AGAP000193,protein coding gene,cytochrome P450
AGAP000194,protein coding gene,cytochrome P450
AGAP000195,protein coding gene,cytoplasmic FMR1 interacting protein
AGAP000196,protein coding gene,unspecified product
AGAP000198,protein coding gene,Chitinase [Source:UniProtKB/TrEMBL;Acc:A0A1S4G846]
AGAP000199,protein coding gene,phospholipase D3/4
AGAP000200,protein coding gene,unspecified product
AGAP000201,protein coding gene,26S proteasome non-ATPase regulatory subunit 9 [Source:UniProtKB/TrEMBL;Acc:Q7QEX9]
AGAP000202,protein coding gene,unspecified product
AGAP000203,protein coding gene,"inositol-1,4,5-trisphosphate 5-phosphatase"
AGAP000204,protein coding gene,unspecified product
AGAP000205,protein coding gene,unspecified product
AGAP000206,protein coding gene,unspecified product
AGAP000209,protein coding gene,glutamate receptor binding protein
AGAP000210,protein coding gene,triacylglycerol lipase
AGAP000211,protein coding gene,triacylglycerol lipase
AGAP000213,protein coding gene,ankyrin repeat and SOCS box protein 17
AGAP000214,protein coding gene,unspecified product
AGAP000215,protein coding gene,unspecified product
AGAP000216,protein coding gene,unspecified product
AGAP000217,protein coding gene,unspecified product
AGAP000218,protein coding gene,unspecified product
AGAP000219,protein coding gene,Tektin-3
AGAP000220,protein coding gene,xylulokinase
AGAP000222,protein coding gene,unspecified product
AGAP000223,protein coding gene,unspecified product
AGAP000225,protein coding gene,unspecified product
AGAP000226,protein coding gene,odorant receptor 41
AGAP000228,protein coding gene,netrin 1
AGAP000230,protein coding gene,odorant receptor 52
AGAP000232,protein coding gene,regulator of G-protein signaling
AGAP000233,protein coding gene,BTB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G8Z3]
AGAP000234,protein coding gene,unspecified product
AGAP000235,protein coding gene,Thymosin
AGAP000236,protein coding gene,"3',5'-cyclic-nucleotide phosphodiesterase"
AGAP000237,protein coding gene,cAMP response element-binding protein (CREB)
AGAP000238,protein coding gene,unspecified product
AGAP000239,protein coding gene,allantoinase
AGAP000240,protein coding gene,HtrA serine peptidase 2
AGAP000241,protein coding gene,N-acetylglucosamine kinase
AGAP000242,protein coding gene,vesicle transport protein SEC20
AGAP000243,protein coding gene,Rhophilin-2
AGAP000244,protein coding gene,unspecified product
AGAP000245,protein coding gene,unspecified product
AGAP000246,protein coding gene,unspecified product
AGAP000247,protein coding gene,unspecified product
AGAP000248,protein coding gene,protein phosphatase 1H
AGAP000249,protein coding gene,mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase
AGAP000250,protein coding gene,STAGA complex 65 subunit gamma
AGAP000251,protein coding gene,unspecified product
AGAP000252,protein coding gene,oligopeptidase A
AGAP000253,protein coding gene,solute carrier family 25
AGAP000254,protein coding gene,potassium voltage-gated channel Shaker-related subfamily A
AGAP000255,protein coding gene,unspecified product
AGAP000256,protein coding gene,unspecified product
AGAP000258,protein coding gene,Hexosyltransferase [Source:UniProtKB/TrEMBL;Acc:Q7PRX3]
AGAP000260,protein coding gene,mitochondrial ATP synthase epsilon chain
AGAP000261,protein coding gene,DnaJ-like protein subfamily C
AGAP000262,protein coding gene,unspecified product
AGAP000264,protein coding gene,unspecified product
AGAP000266,protein coding gene,unspecified product
AGAP000267,protein coding gene,unspecified product
AGAP000268,protein coding gene,unspecified product
AGAP000269,protein coding gene,ubiquitin carboxyl-terminal hydrolase 30
AGAP000270,protein coding gene,nucleolar protein 53
AGAP000271,protein coding gene,unspecified product
AGAP000272,protein coding gene,transcription initiation factor TFIID subunit 9 / adenylate kinase
AGAP000273,protein coding gene,unspecified product
AGAP000274,protein coding gene,unspecified product
AGAP000275,protein coding gene,epidermal retinal dehydrogenase
AGAP000277,protein coding gene,EF-hand calcium-binding domain-containing protein 1
AGAP000278,protein coding gene,odorant-binding protein 9
AGAP000279,protein coding gene,Odorant-binding protein 8 [Source:UniProtKB/TrEMBL;Acc:A0A1S4G948]
AGAP000280,protein coding gene,guanylate cyclase soluble subunit alpha
AGAP000281,protein coding gene,HMG box domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G8L8]
AGAP000283,protein coding gene,unspecified product
AGAP000284,protein coding gene,cytochrome P450
AGAP000285,protein coding gene,unspecified product
AGAP000286,protein coding gene,unspecified product
AGAP000287,protein coding gene,"prostaglandin reductase 1, gene"
AGAP000288,protein coding gene,prostaglandin reductase 1
AGAP000289,protein coding gene,"prostaglandin reductase 1, gene 2"
AGAP000290,protein coding gene,CLIP-domain serine protease
AGAP000291,protein coding gene,Translocase of inner mitochondrial membrane 44 homolog (yeast)
AGAP000292,protein coding gene,unspecified product
AGAP000293,protein coding gene,ionotropic receptor IR100h
AGAP000294,protein coding gene,unspecified product
AGAP000295,protein coding gene,unspecified product
AGAP000296,protein coding gene,unspecified product
AGAP000297,protein coding gene,unspecified product
AGAP000298,protein coding gene,unspecified product
AGAP000299,protein coding gene,unspecified product
AGAP000300,protein coding gene,Bifunctional pyrimidine biosynthesis protein (PyrABCN)
AGAP000301,protein coding gene,unspecified product
AGAP000303,protein coding gene,unspecified product
AGAP000304,protein coding gene,Protein twisted gastrulation
AGAP000305,protein coding gene,SPARC
AGAP000306,protein coding gene,Histone H2A [Source:UniProtKB/TrEMBL;Acc:Q7QF50]
AGAP000307,protein coding gene,Integrin alpha-PS1
AGAP000308,protein coding gene,proteasome activator subunit 3 (PA28 gamma)
AGAP000309,protein coding gene,unspecified product
AGAP000310,protein coding gene,mitogen-activated protein kinase kinase 3
AGAP000311,protein coding gene,UNC93-like protein MFSD11
AGAP000312,protein coding gene,unspecified product
AGAP000313,protein coding gene,alanine-glyoxylate aminotransferase 2-like
AGAP000314,protein coding gene,unspecified product
AGAP000315,protein coding gene,CLIP-domain serine protease
AGAP000316,protein coding gene,unspecified product
AGAP000317,protein coding gene,unspecified product
AGAP000319,protein coding gene,katanin p80 WD40 repeat-containing subunit
AGAP000320,protein coding gene,"dynein intermediate chain, cytosolic"
AGAP000321,protein coding gene,unspecified product
AGAP000322,protein coding gene,Adaptin ear-binding coat-associated protein 1
AGAP000323,protein coding gene,unspecified product
AGAP000324,protein coding gene,tRNA (guanine9-N1)-methyltransferase
AGAP000325,protein coding gene,"lysyl-tRNA synthetase, class II"
AGAP000326,protein coding gene,unspecified product
AGAP000327,protein coding gene,tyrosine aminotransferase
AGAP000328,protein coding gene,AMME syndrome candidate gene 1 protein
AGAP000329,protein coding gene,nicotinic acetylcholine receptor subunit alpha 3
AGAP000330,protein coding gene,unspecified product
AGAP000331,protein coding gene,low density lipoprotein-related protein 2]
AGAP000332,protein coding gene,protein virilizer
AGAP000334,protein coding gene,unspecified product
AGAP000336,protein coding gene,transcription initiation factor TFIID TATA-box-binding protein
AGAP000337,protein coding gene,regulator of nonsense transcripts 2
AGAP000338,protein coding gene,phosphomevalonate kinase
AGAP000339,protein coding gene,E3 ubiquitin-protein ligase Hakai
AGAP000340,protein coding gene,LRRCT domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G9B1]
AGAP000341,protein coding gene,Galectin [Source:UniProtKB/TrEMBL;Acc:Q7QF77]
AGAP000342,protein coding gene,"inhibin, beta"
AGAP000343,protein coding gene,vacuolar protein sorting 50
AGAP000344,protein coding gene,cuticular protein RR-1 family 127
AGAP000345,protein coding gene,cuticular protein RR-2 family 126
AGAP000346,protein coding gene,spaetzle-like cytokine 1
AGAP000347,protein coding gene,pyrokinin capa-like
AGAP000348,protein coding gene,unspecified product
AGAP000349,protein coding gene,"transient receptor potential cation channel subfamily C, invertebrate"
AGAP000351,protein coding gene,neuropeptide Y receptor 1
AGAP000352,protein coding gene,cuticular protein TWDL family (TWDL1)
AGAP000354,protein coding gene,unspecified product
AGAP000355,protein coding gene,unspecified product
AGAP000356,protein coding gene,SCP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G8Q1]
AGAP000357,protein coding gene,E3 ubiquitin-protein ligase ZNRF1/2
AGAP000358,protein coding gene,unspecified product
AGAP000359,protein coding gene,venom allergen
AGAP000360,protein coding gene,unspecified product
AGAP000361,protein coding gene,unspecified product
AGAP000363,protein coding gene,unspecified product
AGAP000364,protein coding gene,protein stoned-A
AGAP000365,protein coding gene,"alpha-1,3-fucosyltransferase"
AGAP000366,protein coding gene,unspecified product
AGAP000367,protein coding gene,glyoxalase domain-containing protein 4
AGAP000368,protein coding gene,PI-3-kinase-related kinase SMG-1
AGAP000369,protein coding gene,putative GPCR class a orphan receptor 10
AGAP000372,protein coding gene,unspecified product
AGAP000374,protein coding gene,anaphase-promoting complex subunit 1
AGAP000375,protein coding gene,unspecified product
AGAP000376,protein coding gene,Transferrin [Source:UniProtKB/TrEMBL;Acc:Q7QF98]
AGAP000377,protein coding gene,E3 ubiquitin-protein ligase
AGAP000378,protein coding gene,programmed cell death protein 4
AGAP000379,protein coding gene,piggyBac-derived 3
AGAP000380,protein coding gene,5'-nucleotidase [Source:UniProtKB/TrEMBL;Acc:Q7QFA2]
AGAP000382,protein coding gene,unspecified product
AGAP000383,protein coding gene,unspecified product
AGAP000385,protein coding gene,unspecified product
AGAP000387,protein coding gene,UDP-N-acetylglucosamine transporter
AGAP000388,protein coding gene,TOLL pathway signalling TNF Receptor-Associated Factor (TRAF).
AGAP000389,protein coding gene,unspecified product
AGAP000390,protein coding gene,phospholipid-transporting ATPase
AGAP000391,protein coding gene,negative elongation factor C/D
AGAP000392,protein coding gene,synaptobrevin homolog YKT6
AGAP000393,protein coding gene,Trimeric intracellular cation channel type B
AGAP000394,protein coding gene,facilitated glucose transporter (solute carrier family 2)
AGAP000395,protein coding gene,endoplasmic reticulum protein
AGAP000396,protein coding gene,thioredoxin peroxidase 1
AGAP000397,protein coding gene,nucleolar protein 14
AGAP000398,protein coding gene,methionyl-tRNA formyltransferase
AGAP000399,protein coding gene,squid
AGAP000400,protein coding gene,unspecified product
AGAP000401,protein coding gene,carbonic anhydrase 2
AGAP000402,protein coding gene,Nogo-B receptor precursor
AGAP000403,protein coding gene,unspecified product
AGAP000405,protein coding gene,sphingomyelin phosphodiesterase 4
AGAP000406,protein coding gene,Rho-associated protein kinase
AGAP000407,protein coding gene,unspecified product
AGAP000408,protein coding gene,unspecified product
AGAP000410,protein coding gene,histone deacetylase 4/5
AGAP000411,protein coding gene,unspecified product
AGAP000412,protein coding gene,unspecified product
AGAP000413,protein coding gene,unspecified product
AGAP000414,protein coding gene,prostaglandin reductase 1
AGAP000415,protein coding gene,5-hydroxyisourate hydrolase
AGAP000416,protein coding gene,hydroxyacylglutathione hydrolase
AGAP000417,protein coding gene,unspecified product
AGAP000420,protein coding gene,unspecified product
AGAP000421,protein coding gene,unspecified product
AGAP000422,protein coding gene,(heparan sulfate)-glucosamine 3-sulfotransferase 3
AGAP000423,protein coding gene,unspecified product
AGAP000424,protein coding gene,unspecified product
AGAP000425,protein coding gene,unspecified product
AGAP000426,protein coding gene,benzodiazapine receptor
AGAP000427,protein coding gene,vitellogenin receptor
AGAP000428,protein coding gene,CUE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7QFD7]
AGAP000429,protein coding gene,Protein FAN
AGAP000430,protein coding gene,unspecified product
AGAP000431,protein coding gene,unspecified product
AGAP000432,protein coding gene,unspecified product
AGAP000433,protein coding gene,Ras-related protein Rab-39B
AGAP000434,protein coding gene,dolichyl-diphosphooligosaccharide--protein glycosyltransferase
AGAP000436,protein coding gene,chitinase
AGAP000437,protein coding gene,DM5 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7PS59]
AGAP000438,protein coding gene,unspecified product
AGAP000439,protein coding gene,4a-hydroxytetrahydrobiopterin dehydratase
AGAP000440,protein coding gene,ATP-binding cassette transporter (ABC transporter) family D member 2
AGAP000441,protein coding gene,"nuclear transcription factor Y, gamma"
AGAP000444,protein coding gene,cytosolic iron-sulfur protein assembly protein
AGAP000445,protein coding gene,putative adenosine receptor
AGAP000446,protein coding gene,unspecified product
AGAP000447,protein coding gene,unspecified product
AGAP000448,protein coding gene,solute carrier family 25 (mitochondrial ornithine transporter) member 2/15
AGAP000449,protein coding gene,unspecified product
AGAP000452,protein coding gene,unspecified product
AGAP000453,protein coding gene,unspecified product
AGAP000454,protein coding gene,unspecified product
AGAP000456,protein coding gene,unspecified product
AGAP000457,protein coding gene,protein-L-isoaspartate(D-aspartate) O-methyltransferase
AGAP000458,protein coding gene,unspecified product
AGAP000460,protein coding gene,unspecified product
AGAP000461,protein coding gene,"Odz, odd Oz/ten-m homolog 2 (Drosophila)"
AGAP000462,protein coding gene,peptidyl-prolyl isomerase F (cyclophilin D)
AGAP000463,protein coding gene,SAP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G8W3]
AGAP000466,protein coding gene,acetylcholinesterase
AGAP000467,protein coding gene,lysophospholipid hydrolase
AGAP000468,protein coding gene,unspecified product
AGAP000469,protein coding gene,unspecified product
AGAP000470,protein coding gene,methylthioribulose-1-phosphate dehydratase
AGAP000471,protein coding gene,F-box and leucine-rich repeat protein 4
AGAP000472,protein coding gene,chordin
AGAP000473,protein coding gene,Aa_trans domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7QFG5]
AGAP000474,protein coding gene,origin recognition complex subunit 2
AGAP000475,protein coding gene,unspecified product
AGAP000476,protein coding gene,Xaa-Pro aminopeptidase
AGAP000477,protein coding gene,serine/threonine kinase 32
AGAP000478,protein coding gene,BTB/POZ domain-containing protein KCTD9
AGAP000479,protein coding gene,pre-rRNA-processing protein IPI3
AGAP000480,protein coding gene,nuclear pore complex protein Nup43
AGAP000481,protein coding gene,cyanogenic beta-glucosidase
AGAP000482,protein coding gene,unspecified product
AGAP000483,protein coding gene,Inositol polyphosphate-5-phosphatase F
AGAP000484,protein coding gene,homeobox protein Nkx-1
AGAP000485,protein coding gene,venom allergen
AGAP000488,protein coding gene,homeobox protein Nkx-5
AGAP000489,protein coding gene,Eph receptor B1
AGAP000491,protein coding gene,HIG1 domain family member 2A
AGAP000493,protein coding gene,unspecified product
AGAP000494,protein coding gene,unspecified product
AGAP000495,protein coding gene,SUMO-conjugating enzyme UBC9
AGAP000496,protein coding gene,geminin
AGAP000497,protein coding gene,unspecified product
AGAP000498,protein coding gene,nuclear transport factor 2
AGAP000499,protein coding gene,unspecified product
AGAP000500,protein coding gene,NADPH cytochrome P450 reductase
AGAP000504,protein coding gene,unspecified product
AGAP000506,protein coding gene,ATP-binding cassette transporter (ABC transporter) family G member 2
AGAP000507,protein coding gene,unspecified product
AGAP000508,protein coding gene,"39S ribosomal protein L22, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0NCQ2]"
AGAP000509,protein coding gene,Post-GPI attachment to proteins factor 2-like [Source:UniProtKB/TrEMBL;Acc:A0A1S4G996]
AGAP000512,protein coding gene,Transcriptional enhancer factor [Source:UniProtKB/TrEMBL;Acc:A0A1S4G9T4]
AGAP000513,protein coding gene,dipeptidase E
AGAP000514,protein coding gene,Protein MAK16 homolog [Source:UniProtKB/TrEMBL;Acc:Q7PRY6]
AGAP000515,protein coding gene,enhancer of rudimentary protein
AGAP000516,protein coding gene,enhancer of rudimentary protein
AGAP000519,protein coding gene,diacylglycerol kinase (ATP dependent)
AGAP000520,protein coding gene,unspecified product
AGAP000521,protein coding gene,unspecified product
AGAP000522,protein coding gene,Ig-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G9V5]
AGAP000523,protein coding gene,F-type H+-transporting ATPase subunit c
AGAP000526,protein coding gene,translation initiation factor 4B
AGAP000528,protein coding gene,BZIP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G964]
AGAP000529,protein coding gene,vacuolar protein sorting 16A
AGAP000530,protein coding gene,Werner Syndrome-like exonuclease
AGAP000531,protein coding gene,lipoyl(octanoyl) transferase
AGAP000532,protein coding gene,histone deacetylase 6/10
AGAP000533,protein coding gene,RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G9W5]
AGAP000534,protein coding gene,glutathione synthase
AGAP000535,protein coding gene,unspecified product
AGAP000536,protein coding gene,peptidoglycan recognition protein (short)
AGAP000537,protein coding gene,unspecified product
AGAP000538,protein coding gene,cuticular protein TWDL family (TWDL9)
AGAP000539,protein coding gene,unspecified product
AGAP000540,protein coding gene,proton-coupled amino acid transporter
AGAP000541,protein coding gene,40S ribosomal protein S15a
AGAP000543,protein coding gene,vitamin-K-epoxide reductase (warfarin-sensitive)
AGAP000544,protein coding gene,"solute carrier family 35, member E1"
AGAP000545,protein coding gene,unspecified product
AGAP000546,protein coding gene,acyl-CoA-binding protein
AGAP000547,protein coding gene,rabenosyn-5
AGAP000548,protein coding gene,salivary gland protein 1-like 2
AGAP000549,protein coding gene,2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase)
AGAP000550,protein coding gene,unspecified product
AGAP000551,protein coding gene,2-oxoglutarate dehydrogenase E1 component DHKTD1
AGAP000552,protein coding gene,TBC domain-containing protein kinase-like protein
AGAP000553,protein coding gene,protein white
AGAP000554,protein coding gene,unspecified product
AGAP000555,protein coding gene,Molybdenum cofactor sulfurase [Source:UniProtKB/Swiss-Prot;Acc:Q7QFL7]
AGAP000556,protein coding gene,selenoprotein W-related protein
AGAP000558,protein coding gene,"mannosyl-oligosaccharide alpha-1,2-mannosidase"
AGAP000559,protein coding gene,unspecified product
AGAP000560,protein coding gene,spastic paraplegia 7
AGAP000561,protein coding gene,kinesin family member 5
AGAP000562,protein coding gene,unspecified product
AGAP000563,protein coding gene,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein"
AGAP000564,protein coding gene,C-factor
AGAP000565,protein coding gene,thioredoxin reductase
AGAP000566,protein coding gene,unspecified product
AGAP000567,protein coding gene,unspecified product
AGAP000569,protein coding gene,forkhead box protein P
AGAP000570,protein coding gene,unspecified product
AGAP000571,protein coding gene,CLIP-domain serine protease
AGAP000572,protein coding gene,CLIP-domain serine protease
AGAP000573,protein coding gene,CLIP-domain serine protease
AGAP000574,protein coding gene,PDGF- and VEGF-related factor 1
AGAP000575,protein coding gene,kinesin family member 4/7/21/27
AGAP000576,protein coding gene,unspecified product
AGAP000577,protein coding gene,AMP deaminase
AGAP000578,protein coding gene,TMC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G9C4]
AGAP000579,protein coding gene,Niemann-Pick C1 protein
AGAP000585,protein coding gene,unspecified product
AGAP000586,protein coding gene,unspecified product
AGAP000587,protein coding gene,unspecified product
AGAP000588,protein coding gene,unspecified product
AGAP000589,protein coding gene,poly(ADP-ribose) glycohydrolase
